Id,Class
4,Human
5,Human
6,OPUS-MT
7,OPUS-MT
13,M2M-100
14,OPUS-MT
17,ruGPT3-Large
18,Human
23,Human
25,OPUS-MT
28,ruT5-Base-Multitask
29,Human
31,ruGPT3-Small
32,Human
34,M2M-100
39,M-BART50
40,Human
43,Human
44,Human
51,Human
52,Human
57,Human
59,OPUS-MT
64,Human
65,Human
67,Human
68,mT5-Large
71,M2M-100
74,Human
75,mT5-Large
79,Human
80,Human
86,Human
87,ruGPT3-Large
88,Human
96,ruGPT3-Large
97,Human
100,Human
102,Human
103,M2M-100
104,Human
107,ruGPT3-Large
109,M2M-100
110,ruGPT3-Medium
111,Human
115,Human
116,mT5-Small
117,Human
119,Human
126,OPUS-MT
128,Human
129,Human
133,M2M-100
142,Human
143,Human
145,Human
146,ruGPT3-Large
149,Human
150,M2M-100
152,Human
154,Human
156,ruGPT3-Medium
159,Human
161,Human
163,Human
164,Human
168,OPUS-MT
174,Human
178,Human
181,Human
185,M-BART50
186,Human
200,M-BART50
205,mT5-Small
210,mT5-Small
211,ruGPT2-Large
216,Human
218,mT5-Large
220,mT5-Small
221,Human
223,Human
229,Human
231,ruGPT3-Large
232,ruGPT3-Small
238,Human
241,M-BART50
244,Human
246,Human
249,Human
252,mT5-Large
260,ruGPT2-Large
265,ruT5-Base
266,mT5-Large
268,M-BART50
271,OPUS-MT
274,Human
275,Human
280,Human
292,OPUS-MT
293,M2M-100
294,Human
296,M-BART50
309,M-BART50
311,Human
314,Human
316,M2M-100
318,Human
319,M-BART50
321,Human
323,OPUS-MT
328,OPUS-MT
332,M2M-100
334,M2M-100
337,Human
339,Human
344,Human
350,Human
351,M-BART50
353,Human
354,Human
355,mT5-Small
360,M-BART50
362,OPUS-MT
364,M2M-100
366,ruGPT3-Large
367,OPUS-MT
368,mT5-Large
369,Human
371,Human
376,OPUS-MT
380,Human
392,Human
394,Human
398,Human
403,mT5-Small
407,ruGPT3-Medium
408,Human
411,ruT5-Base
419,Human
422,OPUS-MT
425,M2M-100
426,ruGPT3-Large
427,ruGPT3-Small
428,ruGPT3-Small
433,Human
435,ruGPT3-Large
445,Human
446,Human
447,OPUS-MT
449,ruGPT3-Large
452,ruGPT2-Large
454,M-BART50
463,ruGPT3-Large
468,M2M-100
469,Human
478,mT5-Large
481,Human
485,Human
487,Human
489,OPUS-MT
491,ruGPT3-Medium
493,M-BART50
495,M-BART
498,ruT5-Large
500,M2M-100
504,ruGPT3-Small
506,Human
508,Human
509,Human
513,ruGPT3-Large
517,ruGPT3-Large
518,Human
519,ruGPT3-Large
527,M2M-100
529,Human
530,ruGPT3-Large
542,Human
545,ruGPT3-Medium
547,M2M-100
548,ruGPT3-Large
552,ruGPT3-Medium
553,Human
555,Human
563,ruGPT3-Small
567,ruT5-Base
581,Human
582,ruGPT2-Large
584,Human
586,Human
589,Human
590,Human
595,M-BART50
599,M-BART50
600,Human
602,Human
607,Human
608,ruGPT3-Medium
610,ruGPT3-Small
611,Human
613,Human
624,M-BART50
632,Human
633,mT5-Large
634,M2M-100
635,Human
640,Human
648,Human
653,M-BART50
662,OPUS-MT
666,ruGPT3-Medium
669,OPUS-MT
671,Human
673,ruGPT3-Small
683,ruGPT3-Small
685,ruGPT3-Medium
689,ruGPT3-Large
694,Human
695,M-BART50
697,Human
698,ruGPT3-Medium
707,M2M-100
708,Human
714,M-BART50
718,ruGPT3-Large
720,Human
722,M-BART50
723,Human
724,ruT5-Large
727,Human
728,Human
732,Human
739,ruGPT3-Medium
746,OPUS-MT
750,OPUS-MT
751,Human
752,Human
758,ruGPT3-Small
760,M-BART
763,ruGPT3-Medium
765,ruGPT3-Small
766,Human
773,Human
775,Human
786,ruGPT3-Large
788,ruGPT3-Large
795,mT5-Small
798,ruGPT3-Large
802,ruGPT3-Medium
803,Human
804,Human
805,M2M-100
806,Human
810,ruT5-Base-Multitask
811,M-BART
817,Human
818,OPUS-MT
821,Human
824,ruGPT3-Medium
830,mT5-Small
832,mT5-Small
836,ruGPT3-Small
837,ruGPT3-Small
841,Human
842,M2M-100
853,Human
854,Human
860,mT5-Large
870,Human
871,ruGPT3-Large
872,Human
873,Human
874,ruGPT3-Small
881,Human
887,Human
893,ruGPT3-Small
895,ruGPT3-Large
898,M-BART50
904,ruT5-Base
908,ruGPT3-Medium
916,Human
922,ruGPT3-Large
930,M-BART50
933,M-BART50
939,ruGPT3-Large
943,mT5-Small
946,M2M-100
950,mT5-Large
954,ruGPT3-Medium
955,OPUS-MT
958,Human
959,M2M-100
962,Human
963,M2M-100
964,ruGPT3-Large
966,ruGPT3-Medium
968,M2M-100
970,Human
972,M2M-100
974,Human
975,M2M-100
976,Human
980,Human
982,ruGPT3-Small
983,Human
986,ruGPT3-Large
990,M2M-100
995,Human
997,M-BART50
999,mT5-Small
1000,Human
1005,Human
1006,M-BART50
1007,ruGPT2-Large
1013,M-BART50
1017,ruGPT3-Large
1023,ruT5-Base
1024,Human
1026,M2M-100
1031,Human
1036,M2M-100
1037,Human
1038,Human
1039,ruGPT3-Large
1040,ruGPT3-Small
1042,OPUS-MT
1046,Human
1047,M2M-100
1049,ruGPT3-Large
1050,ruGPT3-Large
1051,Human
1052,M2M-100
1057,ruGPT3-Large
1058,Human
1062,ruGPT3-Medium
1065,Human
1067,M-BART50
1068,OPUS-MT
1072,M2M-100
1073,Human
1074,OPUS-MT
1080,M-BART50
1083,Human
1084,Human
1085,M2M-100
1087,M2M-100
1088,Human
1089,Human
1090,M-BART50
1092,Human
1093,M2M-100
1095,Human
1097,Human
1104,OPUS-MT
1105,Human
1107,OPUS-MT
1108,Human
1113,Human
1114,Human
1115,Human
1122,Human
1123,Human
1127,ruGPT3-Medium
1129,ruGPT3-Small
1130,Human
1133,M2M-100
1134,Human
1137,Human
1142,M-BART50
1143,OPUS-MT
1144,Human
1145,Human
1150,Human
1153,Human
1156,Human
1161,ruGPT3-Medium
1163,Human
1165,M-BART50
1166,ruGPT3-Small
1170,OPUS-MT
1172,Human
1175,ruGPT3-Small
1176,Human
1178,ruT5-Base
1179,Human
1183,ruT5-Large
1188,Human
1189,Human
1195,ruGPT3-Large
1200,Human
1205,ruGPT3-Medium
1214,M-BART50
1228,ruT5-Base-Multitask
1230,ruT5-Base
1233,ruT5-Base-Multitask
1236,M-BART50
1238,M-BART
1242,Human
1247,ruGPT3-Small
1249,ruGPT3-Medium
1252,ruT5-Base-Multitask
1256,mT5-Small
1258,ruGPT3-Large
1260,ruT5-Large
1261,ruT5-Base-Multitask
1266,OPUS-MT
1276,mT5-Small
1282,ruGPT3-Large
1284,OPUS-MT
1285,OPUS-MT
1300,ruGPT3-Medium
1302,ruGPT3-Small
1304,ruT5-Base-Multitask
1309,Human
1316,ruGPT3-Small
1317,Human
1318,Human
1320,M2M-100
1321,Human
1330,OPUS-MT
1332,Human
