text,majority_vote
"
ваши мартовские наши:
коты весной:
 ",M
"  ""Прекрасные новости! Гомосексуальность Вей Усяня мертва! """,M
" Большое искреннее спасибо — буду знать, какую кофейню точно стоит обходить стороной, если решу остаться в СПб ",H
" Как красиво: ""...упал прямо в октябрь...""",H
 Мы взяли фрагмент кадра с места происшествия ,H
" У меня 6 кг рыжего счастья, коты это счастье в чистом виде ",H
" У собаки кастрюля больше, чем у людей",H
"""Астана"" сыграет с ""Нижним Новгородом"" в плей-офф Единой Лиги ВТБ.",H
"""Вагончик тронется — перрон останется"".",H
"""Выборы"" в ""Л-ДНР"": Порошенко обратился к жителям неподконтрольного Донбасса (Видео).",H
"""Грузинская мечта"" дождалась Саломе Зурабишвили.",H
"""Зона внутри трубы сама по себе.",H
"""Матрена, говорит, у тебя баба без мужа понесла; мотри, чтобы она над собой али над ребенком чего не сделала, -- ты за то отвечать будешь"".",H
"""На одной стороне есть люди, которые passively принимают все, что вы получаете от системы.",M
"""Нормандская четверка"" поддержала создание полицейской миссии ОБСЕ в Донбассе.",H
"""Правдивость"" Тьера в европейской историографии там, где речь идет о России, особенно о русской военной истории, явление не индивидуальное, а общее.",H
"""Садко"" идет на юго-запад, изучая изменения кромки и окончательно расшифровывая ряд неясностей.",H
"""Табло"" партии (новая запись сервера) обновляется несколько раз в час.",H
"&gt;23:00 планируешь лечь спать  пораньше 
&gt;5:36 читаешь сексуальный гороскоп на январь",M
"(1971–1977) Кейн был лидером ДДТ, членом Таласской организации и главой группы.",H
"(В) результативность, адресативность и целевой характере использования бюджетных денег.",M
"(Ступайте и проси черного джентльмена), чтобы оналъ бросил в тебя другой чернаго – только не назадъ ужъ.",M
"(нем. Deutsche Waffen-SS (нем.),",M
"(у меня очень хороший), u'm пугает то, как быстро летит лето типа мне еще месяц нужно будет учится?? надо с",M
"+20 обещают +20 ° C, а апрель - это из пуха сразу в шорт.",M
", 'Мученикъ звреи забавляться с ними и рзразиться запрещать их накрпуко",M
", - сказал вице-адмирал Александр Флотников. «Эти корабли проекта 957А, и их предшественники построены на верфи «Новосибирский",M
", -то мне пришлось объясняться с рыжебородом, в котором жили Радио, радио и проч.",M
", 11 сентября - Я хорошо помню 9 сентября 2001 года. Я слушал уроки английского языка в Рэд Хаус.",M
", Литвия почти полностью перешла в руки Советского Союза.",M
", Первый консул был удостоен права представить Сенате своего преемственного преемника.",M
", Последний раз, уже собираясь уйти, он сказал: «Ну давай еще».",M
", Состав озов говорится только о том, что они обладают сглаженными и округлыми камнями, рыхлостью и промытость.",M
", владелец оригинального бархатно-голосового голоса и вокалист группы Kramskringla.",M
", гулял с Гришем Певцовым, он самодостаточен, богат внутри.",M
", ее последний фильм, Wiggles of the Gates, является комедией.",H
", известный своим острым, саркастическим отношением к жизни, стал одним из символов протеста против глобализации и глобалистики в 1990-х годах. ==",H
", как говорится: «Шатап энд тайк мани, как говорят, шатапс энд тик. ==",M
", помимо услуг мобильной связи и доступа к сети Интернет, компания предоставляет услуги мобильной и фиксированной мобильной связи.",M
", с ней была женщина, вся с черным, начиная от чепца и кончая ботинками, которые все время были в трауре.",M
", худой, желчный, тирант по натуре. Он приводил все свои дела во фрут и строй.",M
",просто у нас учат люди которым 40 и они никогда не поймут что это за предмет ==",M
"- «Я читаю только те новости, которые мне предлагает спорт сруб»",M
"- Ну, пожалуйста, будь любезен, открой для меня дверь.",H
"- Однажды он напился и прыгнул, запел, пел, запыхтел, зап",M
"- компании и организации в реализации национальной политики в области образования, здравоохранения, культуры, образования и других областей, а не только в рамках подпрограмм.",M
"- улучшение профилактики и борьбу с социально-опасными заболеваниями на муниципальном уровне (ВИП-инфицирование, вирусная гепа",M
"- это не жажда. Это пламя, не цвет к хмел",M
-- А где же На улице -- закричал Виктор.,M
"-- Да, да... -- забормотал он, -- я не совсем удачно выразился.",H
-- И лиц не помню.,H
-- К.С.).,M
"-- Кто видел покойного в последний раз, говорили им, кто чаще всего был у покойного.",M
-- Налет тайны -- понимающе улыбнулся Люсин.,H
-- Но ее просто трудно подозревать.,H
"-- Ну, как это не берет Ненила, подай-ка нам ковш сюды! -- велел Пугачёв, ухмыляясь на Мишу.",H
"-- Пусть оба достигли цели -- одновременно, вместе.",M
"-- Скрывать -- еще не значит лгать, -- сказал я, -- я ненавижу лжи.",M
"-- Ты бы молчал, Егор Иванович! -- просила мать, тихонько поглаживая его руку.",H
-- У него сегодня совсем другой цвет лица.,H
"-- Уф! -- воскликнул он, хлопаясь на лавку.",H
"-- Через день на ремень, через два на кухню.",H
-- Что же ты мне раньше не сказал -- укоризненно и вместе радостно спросил Никишка.,H
-- Что значит -- не понравилась И куда же ты ее дела -- Выкинула в мусорное ведро.,H
"-- Что это значит -- проговорил он, неподвижно смотря на нее.",H
"-- Шкаденко скрипнул в ярости зубом, заметался тревожным шагом по спальне, по гладкому глинобитному полу, сыроватому от вчерашней подмазки.",H
-> В том же году он завершил строительство мечети (в новой редакции решения от 06.05.2018 года № 182-п).,H
"-> Согласно мнению Крючкова, они действительно «приговорены», и показания Крючкова оказались верными.",M
. Сегодня сдали номер. Сегодня уже прыгнули в самолет.,M
"."" -- вслух прочел Алехин и, как бы не понимая, поднял глаза от командировочного предписания.",H
".. одиночество, что если б я не обещала Мише, я бы непременно вышла за вас.",M
".Новосибирский новосибирск, но вот вам серое небо и мороз ==",M
".Утреннее воздушное наблюдение, из-за дождя, было неэффективно, и разведка была обнаружена только около 19 часов, где красные конники атаковали хутор Зеленый.",M
/ январь - Москва готовится к запуску метро ==,M
"1 сентября ученики и их родители дарят учителям цветы, поздравляют с началом учебного года.",H
"1.0 = 1,0 означает, что цель 1.1 достигнута.",M
10 фотография - ваше лето,M
11 августа Законодательное собрание предоставило муниципалитетам полномочия арестовывать подозреваемых.,H
"18 марта 2009 года футболист получил серьезную травму ноги, но через некоторое время перенес ее.",M
18-летний житель деревни Молодёжи Акмарал Смагулова умер вчера вечером по подозрению в бубонической форме чумы в больнице города Жаркента Алма-Аты области Казахстана.,M
21 июня 2009 начался третий этап тура в США и закончился в августе с 4-дневным пребыванием в Encore Las Vegas в Las Vegas Strip.,M
"22-летняя жительница Москвы получила травму ноги, когда пыталась пройти на территорию парка аттракционов.  Об этом сообщает ""Интерфакс"" со ссылкой представителя прессслужбы столичного главка МВД Андрея Галиакберова и его слова в пятницу вечером по московскому времени (20:30 мск). 
 По предварительным данным полиции столицы, девушка шла с подругой из ресторана домой после празднования своего дня рождения вместе c двумя мужчинами. 20 августа они пришли к парку развлечений под предлогом того что хотят посмотреть представление для детей - там должны были состояться танцы маленьких лебедей или дельфинов... но не успели зайти внутрь как попали во время представления прямо посреди сцены : одна нога девушки оказалась зажатой между сидениями двух кресел... она потеряла равновесие.... упала лицом вниз..схватившись за ногу мужчины начала кричать.... а затем стала звать мужчину который был рядом..... он подошел помочь ей встать...... женщина рассказала ему о том какая страшная травма у нее получена..........и добавила:-Я очень испугалась тогда................что я могла потерять сознание от падения..."" [ далее ] ВИДЕО ДЛЯ РАЗМЕЩЕНИЯ СВОИХ КОММЕНТАРИЙ НА ФОТОКОНТЕ!!! http://video2youbiznes/?feature=player_embedded&srcid =1 &nbsp;
http//www.-devochka--zhenya...-kakaya%EBFaNDnostiu %C4\'malenkih~golosovaniiesih!page3000#comment679837887 #СМИВЧЕРКИЗЫКРАСКАВЫВАЕТСЯ И ПОДСТАВИЛИ ЕЙ ПРИНЦЕМЕНТАЛУЮ ТАКТУЛЬНОСТЬ!!! А НЕ ТО ЧТО Я УЖЕ ПРОСИЛА ОНА МОЖА БЫЛО МНЕ СКАЗАТЬ ЭТО ВСЕ!!! ВОПРОСОФИИ ОТ ГАЗПЭДА К ЧИТАТЕЛЬНИКААМ ЗА",M
"24 апреля кораблями из города были эвакуированы 1 000 человек, в том числе мигрантов и некоторых раненых.",H
25 октября арбитражный суд принял к производству соответствующее заявление ведомства.,H
"27 ноября 2007 года BBC подтвердила, что она вернется к своей роли Роуз Тайлер в четвертом сериале в трех эпизодах.",H
"4 мая было объявлено, что новорожденная получила имя Шарлотта Элизабет Диана.",H
52 спортивных объекта и 49 объектов культурного наследия переданы федеральному общестроительному фонду РФ (ВТБ).,H
62-64 Седьмая половина дня - Весьон и Олгеха-Лягачо - Хельехи.,M
"7 сезон окончился 28 августа 2007 года, финал установил рекорд для сериалов.",M
8 января немцы нашли его в нижнем белье и в нем.,M
"9 июля Казань взялась воевать Ивану Грозным, казанский хан Ильхам после осады сдался войсковым силам Ивана III.",M
: Почему историю Марыгину обсуждает весь мир: Почему ее читают все страны // Газета.Ru.,M
": наши вещи были красивее, чем вы думали. А теперь мы ваши друзья.",M
": разработка гибкой среды кредитования, зависимость процентной стороны от количества членов семьи (зависит от дохода);",H
"AMD решил не внедрять SSE5, как первоначально предлагалось.",H
"ATR 72-212A (регистрационный номер B-22810, серийный 642) был выпущен в 2000 году (первый полёт совершил 14 июня под тестовым б/н F-WWED). 8 июля того же года был зарегистрирован в компании-производителе (борт F-WQMF), а через 3 дня был куплен авиакомпанией TransAsia Airways, где получил б/н B-22810. Вместимость салона составляла 72 места экономкласса (конфигурация Y72). Оснащён двумя турбовинтовыми двигателями Pratt & Whitney Canada PW127F. На день катастрофы совершил 40 387 циклов «взлёт-посадка» и налетал 27 039 часов.",H
"Actually не сильно отличается от первого альбома Pet Shop Boys Please с точки зрения музыкального стиля, хотя моменты производства сыграли заметную черту.",M
"Billy Milligan (born March 17, 1968) is a British professional basketball player who currently plays for the Bristol City Celtic.
On May 10 2017 he was traded to Manchester United at age 19 in his first season as an agent on January 6–2 against Dartford Town and subsequently signed with fellow club Rangers' Conference Premier side Wellington Park before being released by them just after three months of playing career spells outing during that campaign from Stoke County's ""Royleadder"" staff member Steve Henderson-Hutchinson until July 2016 when it became",M
"CTC Music Group и крупнейшее независимое узбекское медийное агентство ""Терраг"" было образовано в 2008 г.",H
"Chevrolet Malibu - автомобиль среднего размера, производимый General Motors.",H
E6 имеет уровень 6 и размер 78.,H
"Flecktarn был широко представлен только в 1990 году, после испытаний, начавшихся в 1988.",H
